Name,Team,Position,Height(inches),Weight(lbs),Age
Victor Martinez,CLE,Catcher,74,190,28.19
Vinnie Chulk,SF,Relief Pitcher,74,195,28.2
Vinny Rottino,MLW,Third Baseman,72,195,26.9
Virgil Vasquez,DET,Starting Pitcher,75,205,24.73
Vladimir Guerrero,ANA,Outfielder,75,220,31.06
Wade Miller,CHC,Starting Pitcher,74,220,30.46
Wandy Rodriguez,HOU,Starting Pitcher,71,160,28.11
Wes Helms,PHI,First Baseman,76,231,30.8
Wes Littleton,TEX,Relief Pitcher,74,210,24.49
Wil Nieves,NYY,Catcher,71,190,29.43
Wilfredo Ledezma,DET,Relief Pitcher,76,212,26.11
Will Ohman,CHC,Relief Pitcher,74,205,29.55
Willie Bloomquist,SEA,Outfielder,71,185,29.26
Willy Aybar,ATL,Third Baseman,72,175,23.98
Willy Taveras,COL,Outfielder,72,160,25.18
Wilson Betemit,LA,Third Baseman,75,190,26.59
Wily Mo Pena,BOS,Outfielder,75,215,25.1
Woody Williams,HOU,Starting Pitcher,72,200,40.53
Xavier Nady,PIT,Outfielder,74,205,28.29
Yadier Molina,STL,Catcher,71,225,24.63
Yhency Brazoban,LA,Relief Pitcher,73,170,26.72
Yorman Bazardo,DET,Relief Pitcher,74,202,22.64
Yorvit Torrealba,COL,Catcher,71,190,28.62
Yoslan Herrera,PIT,Starting Pitcher,74,200,25.84
Yuniesky Betancourt,SEA,Shortstop,70,190,25.08
Yusmeiro Petit,FLA,Relief Pitcher,72,230,22.27
Zach Duke,PIT,Starting Pitcher,74,207,23.87
Zach Miner,DET,Starting Pitcher,75,200,24.97
Zack Greinke,KC,Starting Pitcher,74,200,23.36
